"f_RT","f_Hu","h_RT","h_Hu","n_RT","n_Hu","s_RT","s_Hu","p_RT","p_Hu","VP","PH","PSW","PSS","PSS_squared","PSS1:1","PSS2:1","PSS3:1","PSS4:1","PSS5:1","PSS6:1","PSS7:1","PSS8:1","PSS9:1","PSS10:1","Confound_h_p","Confound_h_n","Confound_h_s","Confound_h_f","Confound_f_p","Confound_f_n","Confound_f_s","Confound_f_h","Confound_p_f","Confound_p_n","Confound_p_s","Confound_p_h","Confound_s_f","Confound_s_n","Confound_s_p","Confound_s_h","Confound_n_f","Confound_n_s","Confound_n_p","Confound_n_h","h_Hu_arcs","p_Hu_arcs","n_Hu_arcs","s_Hu_arcs","f_Hu_arcs","mean_Hu","gender","sex","age","Stress_Terzil","exp","catchtrials_corr"
969.625,0.875,535.3,0.5142857142857142,422.1,0.9090909090909091,399.5,1.0,663.625,0.5568181818181818,11,8,5,13,169,1,1,2,1,1,1,2,1,2,1,0.4,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7996858220320946,0.8423393456240897,1.264518957625227,1.570796326794897,1.209429202888189,0.771038961038961,"m",2,29,"1=low","wot",100.0
2684.111111111111,0.3555555555555556,1654.777777777778,0.4444444444444444,1413.0,0.9,1671.3,0.675,1166.875,0.0625,12,14,12,26,676,3,3,3,3,3,1,3,3,2,2,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.875,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7297276562269663,0.2526802551420786,1.249045772398254,0.9641837152202035,0.6388651442354112,0.4875000000000001,"w",1,34,"3=high","wot",100.0
1047.666666666667,0.6464646464646465,617.0,0.5444444444444444,385.875,0.8888888888888888,575.7,0.7,563.3333333333334,0.5,13,10,9,19,361,1,2,2,2,3,2,2,2,1,2,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299013445877219,0.7853981633974484,1.230959417340775,0.9911565864311923,0.9340427085181315,0.6559595959595959,"m",2,28,"2=medium","wot",80.0
937.5,1.0,785.7,0.5785714285714286,625.625,1.0,695.0,1.0,528.5555555555555,0.3555555555555556,14,7,11,18,324,0,2,1,2,3,2,4,2,0,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8642966112884559,0.6388651442354112,1.570796326794897,1.570796326794897,1.570796326794897,0.7868253968253969,"w",1,25,"2=medium","wot",100.0
607.875,0.875,542.4,0.45,296.3,0.9090909090909091,380.375,0.765625,622.3,0.5333333333333333,15,10,9,19,361,2,1,3,2,3,2,2,2,1,1,0.4,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.7353144528166684,0.8187562376025609,1.264518957625227,1.065435816510739,1.209429202888189,0.7066098484848485,"w",1,28,"2=medium","wot",100.0
857.3333333333334,0.9,1002.555555555556,0.4188034188034188,667.7777777777778,1.0,726.5,0.9,689.8,0.2666666666666667,16,11,4,15,225,1,2,3,1,1,2,1,1,1,2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7038403995380125,0.5426391022496526,1.570796326794897,1.249045772398254,1.249045772398254,0.6970940170940171,"m",2,29,"2=medium","wot",100.0
443.4,0.81,486.3333333333333,0.7111111111111111,282.2222222222222,1.0,232.5,1.0,218.75,0.6428571428571429,17,10,5,15,225,3,2,2,1,1,1,2,1,2,0,0.0,0.0,0.0,0.1111111111111111,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00334585151606,0.9302740141154722,1.570796326794897,1.570796326794897,1.119769514998634,0.8327936507936509,"w",1,26,"2=medium","wot",100.0
748.6,0.4,769.1111111111111,0.2525252525252525,562.0,1.0,575.3333333333334,0.6923076923076923,888.2222222222222,0.308641975308642,18,14,7,21,441,1,3,3,2,2,3,1,2,2,2,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265098099720694,0.5890309702162739,1.570796326794897,0.9827937232473292,0.684719203002283,0.5306949840283173,"w",1,28,"3=high","wot",100.0
1305.333333333333,0.5714285714285714,1567.5,0.5333333333333333,625.8,0.9,697.1111111111111,0.7111111111111111,982.75,0.390625,19,18,14,32,1024,2,4,4,3,4,0,3,4,4,4,0.2,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.375,0.1111111111111111,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.8187562376025609,0.6751315329370317,1.249045772398254,1.00334585151606,0.8570719478501309,0.6212996031746032,"w",1,36,"3=high","wot",100.0
1912.375,0.75,1062.625,0.5,405.0,1.0,1026.9,0.8333333333333334,490.8,0.5444444444444444,21,13,6,19,361,2,2,2,2,1,2,1,2,2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974484,0.8299013445877219,1.570796326794897,1.150261991510932,1.047197551196598,0.7255555555555555,"w",1,30,"2=medium","wot",100.0
